Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,Jedina prava,Zwn2Yv0K_32,Jedina,Agpnpay,jedini,O
Mate Miso Kovac,Jedina prava,Zwn2Yv0K_32,prava,Ncnpa,pravo,O
Mate Miso Kovac,Još i danas teku suze jedne žene,Zwn2Yv0K_33,Još,Rgp,još,O
Mate Miso Kovac,Još i danas teku suze jedne žene,Zwn2Yv0K_33,i,Qo,i,O
Mate Miso Kovac,Još i danas teku suze jedne žene,Zwn2Yv0K_33,danas,Rgp,danas,O
Mate Miso Kovac,Još i danas teku suze jedne žene,Zwn2Yv0K_33,teku,Vmr3p,teći,O
Mate Miso Kovac,Još i danas teku suze jedne žene,Zwn2Yv0K_33,suze,Ncfpn,suza,O
Mate Miso Kovac,Još i danas teku suze jedne žene,Zwn2Yv0K_33,jedne,Mlcfsg,jedan,O
Mate Miso Kovac,Još i danas teku suze jedne žene,Zwn2Yv0K_33,žene,Ncfsg,žena,O
Mate Miso Kovac,Južnjačke sam krvi,Zwn2Yv0K_34,Južnjačke,Agpfpny,južnjački,O
Mate Miso Kovac,Južnjačke sam krvi,Zwn2Yv0K_34,sam,Var1s,biti,O
Mate Miso Kovac,Južnjačke sam krvi,Zwn2Yv0K_34,krvi,Ncfsg,krv,O
Mate Miso Kovac,Kad dođem blizu Hvara,Zwn2Yv0K_35,Kad,Cs,kad,O
Mate Miso Kovac,Kad dođem blizu Hvara,Zwn2Yv0K_35,dođem,Vmr1s,doći,O
Mate Miso Kovac,Kad dođem blizu Hvara,Zwn2Yv0K_35,blizu,Sg,blizu,O
Mate Miso Kovac,Kad dođem blizu Hvara,Zwn2Yv0K_35,Hvara,Npmsg,Hvar,B-loc
Mate Miso Kovac,Kad pjevam suze teku,Zwn2Yv0K_36,Kad,Cs,kad,O
Mate Miso Kovac,Kad pjevam suze teku,Zwn2Yv0K_36,pjevam,Vmr1s,pjevati,O
Mate Miso Kovac,Kad pjevam suze teku,Zwn2Yv0K_36,suze,Ncfpn,suza,O
Mate Miso Kovac,Kad pjevam suze teku,Zwn2Yv0K_36,teku,Vmr3p,teći,O
Mate Miso Kovac,Kako mi je dobro znaju,Zwn2Yv0K_37,Kako,Cs,kako,O
Mate Miso Kovac,Kako mi je dobro znaju,Zwn2Yv0K_37,mi,Pp1-sd,ja,O
Mate Miso Kovac,Kako mi je dobro znaju,Zwn2Yv0K_37,je,Var3s,biti,O
Mate Miso Kovac,Kako mi je dobro znaju,Zwn2Yv0K_37,dobro,Rgp,dobro,O
Mate Miso Kovac,Kako mi je dobro znaju,Zwn2Yv0K_37,znaju,Vmr3p,znati,O
Mate Miso Kovac,Kaži mi kaži,Zwn2Yv0K_38,Kaži,Vmm2s,kazati,O
Mate Miso Kovac,Kaži mi kaži,Zwn2Yv0K_38,mi,Pp1-sd,ja,O
Mate Miso Kovac,Kaži mi kaži,Zwn2Yv0K_38,kaži,Vmm2s,kazati,O
Mate Miso Kovac,Kralj tuge,Zwn2Yv0K_39,Kralj,Ncmsn,kralj,O
Mate Miso Kovac,Kralj tuge,Zwn2Yv0K_39,tuge,Ncfsg,tuga,O
Mate Miso Kovac,La Paloma,Zwn2Yv0K_40,La,Npmsg,L,B-per
Mate Miso Kovac,La Paloma,Zwn2Yv0K_40,Paloma,Npmsg,Palom,I-per
Mate Miso Kovac,Malo mi je jedan život,Zwn2Yv0K_41,Malo,Rgp,malo,O
Mate Miso Kovac,Malo mi je jedan život,Zwn2Yv0K_41,mi,Pp1-sd,ja,O
Mate Miso Kovac,Malo mi je jedan život,Zwn2Yv0K_41,je,Var3s,biti,O
Mate Miso Kovac,Malo mi je jedan život,Zwn2Yv0K_41,jedan,Mlcmsn,jedan,O
Mate Miso Kovac,Malo mi je jedan život,Zwn2Yv0K_41,život,Ncmsn,život,O
Mate Miso Kovac,Meni treba tvoja ljubav,Zwn2Yv0K_42,Meni,Pp1-sd,ja,O
Mate Miso Kovac,Meni treba tvoja ljubav,Zwn2Yv0K_42,treba,Vmr3s,trebati,O
Mate Miso Kovac,Meni treba tvoja ljubav,Zwn2Yv0K_42,tvoja,Ps2fsn,tvoj,O
Mate Miso Kovac,Meni treba tvoja ljubav,Zwn2Yv0K_42,ljubav,Ncfsn,ljubav,O
Mate Miso Kovac,Mogli smo više,Zwn2Yv0K_43,Mogli,Vmp-pm,moći,O
Mate Miso Kovac,Mogli smo više,Zwn2Yv0K_43,smo,Var1p,biti,O
Mate Miso Kovac,Mogli smo više,Zwn2Yv0K_43,više,Rgc,mnogo,O
Mate Miso Kovac,Molitva za domovinu,Zwn2Yv0K_44,Molitva,Ncfsn,molitva,O
Mate Miso Kovac,Molitva za domovinu,Zwn2Yv0K_44,za,Sa,za,O
Mate Miso Kovac,Molitva za domovinu,Zwn2Yv0K_44,domovinu,Ncfsa,domovina,O
Mate Miso Kovac,Mornaru sretan put,Zwn2Yv0K_45,Mornaru,Ncmsd,mornar,O
Mate Miso Kovac,Mornaru sretan put,Zwn2Yv0K_45,sretan,Appmsnn,sretati,O
Mate Miso Kovac,Mornaru sretan put,Zwn2Yv0K_45,put,Ncmsn,put,O
Mate Miso Kovac,Na križu,Zwn2Yv0K_46,Na,Sl,na,O
Mate Miso Kovac,Na križu,Zwn2Yv0K_46,križu,Ncmsl,križ,O
Mate Miso Kovac,"Ne idi, ne idi",Zwn2Yv0K_47,Ne,Qz,ne,O
Mate Miso Kovac,"Ne idi, ne idi",Zwn2Yv0K_47,idi,Vmm2s,ići,O
Mate Miso Kovac,"Ne idi, ne idi",Zwn2Yv0K_47,",",Z,",",O
Mate Miso Kovac,"Ne idi, ne idi",Zwn2Yv0K_47,ne,Qz,ne,O
Mate Miso Kovac,"Ne idi, ne idi",Zwn2Yv0K_47,idi,Vmm2s,ići,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,Ne,Qz,ne,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,mogu,Vmr1s,moći,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,prestati,Vmn,prestati,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,da,Cs,da,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,te,Pp2-sa,ti,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,volim,Vmr1s,voljeti,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,(,Z,(,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,I,Cc,i,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,can't,Agpmsny,can't,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,stop,Ncmsn,stop,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,loving,Xf,loving,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,you,Xf,you,O
Mate Miso Kovac,Ne mogu prestati da te volim (I can't stop loving you),Zwn2Yv0K_48,),Z,),O
Mate Miso Kovac,Ne sudi mi,Zwn2Yv0K_49,Ne,Qz,ne,O
Mate Miso Kovac,Ne sudi mi,Zwn2Yv0K_49,sudi,Vmr3s,suditi,O
Mate Miso Kovac,Ne sudi mi,Zwn2Yv0K_49,mi,Pp1-sd,ja,O
Mate Miso Kovac,Ne traži drugu ljubav,Zwn2Yv0K_50,Ne,Qz,ne,O
Mate Miso Kovac,Ne traži drugu ljubav,Zwn2Yv0K_50,traži,Vmr3s,tražiti,O
Mate Miso Kovac,Ne traži drugu ljubav,Zwn2Yv0K_50,drugu,Mlofsa,drugi,O
Mate Miso Kovac,Ne traži drugu ljubav,Zwn2Yv0K_50,ljubav,Ncfsa,ljubav,O
Mate Miso Kovac,Neću da te kunem,Zwn2Yv0K_51,Neću,Var1s,htjeti,O
Mate Miso Kovac,Neću da te kunem,Zwn2Yv0K_51,da,Cs,da,O
Mate Miso Kovac,Neću da te kunem,Zwn2Yv0K_51,te,Pp2-sa,ti,O
Mate Miso Kovac,Neću da te kunem,Zwn2Yv0K_51,kunem,Vmr1s,kleti,O
