Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,dosta,Rgp,dosta,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,to,Pd-nsn,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,A,Cc,a,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ja,Pp1-sn,ja,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,što,Pi3n-a,što,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,imam,Vmr1s,imati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,od,Sg,od,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tog,Pd-msg,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ako,Cs,ako,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,srca,Ncnsg,srce,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,mira,Ncmsg,mir,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,nema,Vmr3s,nemati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ni,Qo,ni,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,trenutak,Ncmsn,trenutak,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tada,Rgp,tada,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,znaj,Vmm2s,znati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,To,Pd-nsn,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,je,Var3s,biti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ljubav,Ncfsn,ljubav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,to,Pd-nsa,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ja,Pp1-sn,ja,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tražim,Vmr1s,tražiti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Sve,Agpnsny,sav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,samo,Rgp,samo,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ne,Qz,ne,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,laž,Ncfsn,laž,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ako,Cs,ako,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,želiš,Vmr2s,željeti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,moju,Ps1fsa,moj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ljubav,Ncfsa,ljubav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Drugu,Mlofsa,drugi,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,igru,Ncfsa,igra,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,igraj,Vmm2s,igrati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tad,Rgp,tad,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ničeg,Pi3n-g,ništa,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,nema,Vmr3s,nemati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,osim,Sg,osim,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,nas,Pp1-pg,mi,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,To,Pd-nsn,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,je,Var3s,biti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,važno,Agpnsny,važan,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,znaj,Ncnsn,znati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Za,Sa,za,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,igru,Ncfsa,igra,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,i,Cc,i,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,žalost,Ncfsa,žalost,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,znaš,Vmr2s,znati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,I,Cc,i,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,osmijeh,Ncmsn,osmijeh,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,da,Cs,da,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,meni,Pp1-sd,ja,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,daš,Vmr2s,dati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Za,Sa,za,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tvoj,Ps2msan,tvoj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,svijet,Ncmsan,svijet,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,je,Var3s,biti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,dosta,Rgp,dosta,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,to,Pd-nsn,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,A,Cc,a,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ja,Pp1-sn,ja,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,što,Pi3n-a,što,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,imam,Vmr1s,imati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,od,Sg,od,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tog,Pd-msg,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ako,Cs,ako,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,srca,Ncnsg,srce,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,mira,Ncmsg,mir,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,nema,Vmr3s,nemati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ni,Qo,ni,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,trenutak,Ncmsn,trenutak,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tada,Rgp,tada,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,znaj,Vmm2s,znati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,To,Pd-nsn,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,je,Var3s,biti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ljubav,Ncfsn,ljubav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,to,Pd-nsa,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ja,Pp1-sn,ja,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tražim,Vmr1s,tražiti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Sve,Agpnsny,sav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,samo,Rgp,samo,O
