lemma,upos,Artist_name,Song,Song_ID,Lyrics_url,Views
dubrava,PROPN,Prljavo Kazalište,Jednostavno najgori,Xp4QBL1e_1_39,"https://tekstovi.net/2,206,57340.html",1463
Dubrava,PROPN,Prljavo Kazalište,Jednostavno najgori,Xp4QBL1e_1_39,"https://tekstovi.net/2,206,57340.html",1463
Marija,PROPN,Prljavo Kazalište,Kao sto kaze Marija Juric Zagorka,Xp4QBL1e_1_42,https://lyricstranslate.com/en/kao-sto-kaze-marija-juric-zagorka-marija-juri%C4%87-zagorka-says.html,15554
Jurić,PROPN,Prljavo Kazalište,Kao sto kaze Marija Juric Zagorka,Xp4QBL1e_1_42,https://lyricstranslate.com/en/kao-sto-kaze-marija-juric-zagorka-marija-juri%C4%87-zagorka-says.html,15554
Zagorka,PROPN,Prljavo Kazalište,Kao sto kaze Marija Juric Zagorka,Xp4QBL1e_1_42,https://lyricstranslate.com/en/kao-sto-kaze-marija-juric-zagorka-marija-juri%C4%87-zagorka-says.html,15554
Kaptol,PROPN,Prljavo Kazalište,Kao sto kaze Marija Juric Zagorka,Xp4QBL1e_1_42,https://lyricstranslate.com/en/kao-sto-kaze-marija-juric-zagorka-marija-juri%C4%87-zagorka-says.html,15554
Gordana,PROPN,Prljavo Kazalište,Kao sto kaze Marija Juric Zagorka,Xp4QBL1e_1_42,https://lyricstranslate.com/en/kao-sto-kaze-marija-juric-zagorka-marija-juri%C4%87-zagorka-says.html,15554
Zagreb,PROPN,Prljavo Kazalište,Kiše Jesenje,Xp4QBL1e_1_43,https://lyricstranslate.com/en/Kise-Jesenje-Autumns-rains.html,191434
Vuk,PROPN,Prljavo Kazalište,Knjiga tajni,Xp4QBL1e_1_44,"https://tekstovi.net/2,206,35263.html",14854
Bog,PROPN,Prljavo Kazalište,Knjiga tajni,Xp4QBL1e_1_44,"https://tekstovi.net/2,206,35263.html",14854
Romea,PROPN,Prljavo Kazalište,Korak od sna,Xp4QBL1e_1_45,https://lyricstranslate.com/en/korak-od-sna-footstep-away-sleep.html,57074
Julija,PROPN,Prljavo Kazalište,Korak od sna,Xp4QBL1e_1_45,https://lyricstranslate.com/en/korak-od-sna-footstep-away-sleep.html,57074
Jeruzalem,PROPN,Prljavo Kazalište,Kuda bi za vikend,Xp4QBL1e_1_47,"https://tekstovi.net/2,206,13953.html",21507
Mediteran,PROPN,Prljavo Kazalište,Kuda bi za vikend,Xp4QBL1e_1_47,"https://tekstovi.net/2,206,13953.html",21507
Ramallah,PROPN,Prljavo Kazalište,Kuda bi za vikend,Xp4QBL1e_1_47,"https://tekstovi.net/2,206,13953.html",21507
Alah,PROPN,Prljavo Kazalište,Kuda bi za vikend,Xp4QBL1e_1_47,"https://tekstovi.net/2,206,13953.html",21507
Izrael,PROPN,Prljavo Kazalište,Kuda bi za vikend,Xp4QBL1e_1_47,"https://tekstovi.net/2,206,13953.html",21507
Moskva,PROPN,Prljavo Kazalište,Kuda bi za vikend,Xp4QBL1e_1_47,"https://tekstovi.net/2,206,13953.html",21507
London,PROPN,Prljavo Kazalište,Kuda bi za vikend,Xp4QBL1e_1_47,"https://tekstovi.net/2,206,13953.html",21507
Zagreb,PROPN,Prljavo Kazalište,"Laku noć tebi, Zagrebe",Xp4QBL1e_1_48,https://lyricstranslate.com/en/laku-no%C4%87-tebi-zagrebe-good-night-you-zagreb.html,21111
Sava,PROPN,Prljavo Kazalište,"Laku noć tebi, Zagrebe",Xp4QBL1e_1_48,https://lyricstranslate.com/en/laku-no%C4%87-tebi-zagrebe-good-night-you-zagreb.html,21111
Tuškanac,PROPN,Prljavo Kazalište,"Laku noć tebi, Zagrebe",Xp4QBL1e_1_48,https://lyricstranslate.com/en/laku-no%C4%87-tebi-zagrebe-good-night-you-zagreb.html,21111
Hrvatska,PROPN,Prljavo Kazalište,Lupi petama,Xp4QBL1e_1_53,https://lyricstranslate.com/en/node/91831,66329
Bog,PROPN,Prljavo Kazalište,Lupi petama,Xp4QBL1e_1_53,https://lyricstranslate.com/en/node/91831,66329
Bog,PROPN,Prljavo Kazalište,Ma kog me Boga za tebe pitaju,Xp4QBL1e_1_54,https://lyricstranslate.com/en/ma-kog-me-boga-za-tebe-pitaju-god%E2%80%99s-sake-why-do-they-ask-me-about-you.html,218222
Rome,PROPN,Prljavo Kazalište,Ma kog me Boga za tebe pitaju,Xp4QBL1e_1_54,https://lyricstranslate.com/en/ma-kog-me-boga-za-tebe-pitaju-god%E2%80%99s-sake-why-do-they-ask-me-about-you.html,218222
