Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Arranged By_discogs,Piano_discogs,Saxophone [Solo]_discogs,Soloist_discogs,Vocals_discogs,Featuring_discogs,Choir_discogs,Lyrics By_discogs,Written-By_discogs,Backing Vocals_discogs,Adapted By_discogs,Saxophone_discogs,Tamburitza [Bisernica_discogs,Brač]_discogs,Vocals [Second]_discogs,Alto Saxophone_discogs,Vocals [Female]_discogs,Guitar_discogs,Tamburitza [Prim]_discogs,Saxophone [Alto]_discogs,Tamburitza_discogs,Performer_discogs,Strings [Šargija]_discogs,Violin_discogs,Tambura_discogs,Featuring [Duet]_discogs,Arranged By [Uncredited]_discogs,Vocals [Duet] _discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Željko Bebek,Željko Bebek,Sve Me Noćas Podsjeća Na Tebe,,Sarajevo (In The Ghetto) / Sve Me Noćas Podsjeća Na Tebe,1993.0,,Branko Bogunović,,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,1993.0-Sarajevo (In The Ghetto) / Sve Me Noćas Podsjeća Na Tebe,1993.0-Sarajevo (In The Ghetto) / Sve Me Noćas Podsjeća Na Tebe
Željko Bebek,Željko Bebek,"Oprosti Mi, Što Te Volim",4:51,Sve Najbolje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje/nan-Antologija / Bebek / 40 Godina
Željko Bebek,Željko Bebek,"Laku Noć, Svirači",4:02,Sve Najbolje,,,Slobodan A. Kovačević,,,,,,,Zlatko Sabolek,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje/nan-Zlatna Kolekcija/nan-Antologija / Bebek / 40 Godina/2020.0-Bebek U Spaladiumu/2021.0-Bebek U Spaladiumu
Željko Bebek,Željko Bebek,Il' Me Ženi Il' Tamburu Kupi,3:50,Sve Najbolje,,,,,,,,Klapa Nostalgija,,Božidar Jeremić,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje
Željko Bebek,Željko Bebek,....A Svemir Miruje,4:40,Sve Najbolje,,,,,,,,,,,,,,,,,,,Maja Blagdan,,,Marko Križan,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje
Željko Bebek,Željko Bebek,Prevara,4:30,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Fedor Boić,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti/nan-Hit Do Hita"
Željko Bebek,Željko Bebek,Gola Koljena,3:47,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Branko Bogunović,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti/nan-18 Najvećih Hitova/nan-Zlatna Kolekcija"
Željko Bebek,Željko Bebek,Odlazim,4:15,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Branko Bogunović,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti/2001.0-""Tajna Legenda"" Live/nan-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/nan-Hit Do Hita"
Željko Bebek,Željko Bebek,In The Ghetto,3:33,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Fedor Boić,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti"
Željko Bebek,Željko Bebek,"Grmi Jako, Malo Kiše Pada",3:11,"Gori Svijet, ..... Ti Ćeš Ga Ugasiti",,Miroslav Drljača Rus,Branko Bogunović,,,,,,,Miroslav Drljača Rus,,,,,,,,,,,,,,,,,,,,,,"nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti","nan-Gori Svijet, ..... Ti Ćeš Ga Ugasiti"
