Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Written-By_discogs,Choir_discogs,Producer_discogs,Arranged By_discogs,Trombone_discogs,Trumpet_discogs,Adapted By_discogs,Bagpipes_discogs,Flute [Dvojnica]_discogs,Guest_discogs,Vocals [Duet]_discogs,Backing Vocals_discogs,Featuring_discogs,Lead Vocals_discogs,Engineer_discogs,Performer_discogs,Guitar_discogs,Mixed By_discogs,Album_year_title_discogs,All_albums_discogs
Boris Novković,Boris Novković,U Dobru I Zlu,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu/nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,Čisto Ludilo,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,Sve Mijenja Se,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu/nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,Da Se Dogodi,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,Bijeli Golub,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu/nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection
Boris Novković,Boris Novković,Samo Ti,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,Grlim Mrak,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu/2008.0-The Platinum Collection
Boris Novković,Boris Novković,Ti Si Ona Stvar,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,"Pjesma Moja, To Si Ti",,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,Kada Ti Ljubav Zakuca Jednom Na Vrata,,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,U Dobru I Zlu (Sax Verzija),,,U Dobru I Zlu,,,,,,,,,,,,,,,,,,,,,nan-U Dobru I Zlu,nan-U Dobru I Zlu
Boris Novković,Boris Novković,"Kavkaz, Blato, Kutjevo",3:52,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,Nenad Grahovac,Ramon Raberšak,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi/2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/nan-The Platinum Collection
Boris Novković,Boris Novković,Ugao Ulice,5:18,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Sve Gubi Sjaj,4:35,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi/nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2007.0-Mojih Prvih 20 Live/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,Bit' Ću Dobro Ja,3:58,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Priznaj Mi,3:26,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Još Te Volim,4:32,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Mirisi Ljeta,3:13,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Za Sve One Divne Žene,4:11,Chris Cornell,Sve Gubi Sjaj Bez Ljubavi,,Chris Cornell,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi/2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection
Boris Novković,Boris Novković,Daleko,4:11,,Sve Gubi Sjaj Bez Ljubavi,,Traditional,,,,,,,Miro Buljan,Stjepan Večković,Stjepan Večković,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi/nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San/2008.0-The Platinum Collection/nan-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,Rekla Je Boris,3:59,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Čini Mi Se,4:33,Ines Prajo,Sve Gubi Sjaj Bez Ljubavi,,Ines Prajo,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Neka Bude Ti,3:33,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Neuprljana Ljubav,3:56,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
