Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Alto Saxophone_discogs,Drums_discogs,Electric Guitar_discogs,Percussion_discogs,Arranged By [Co-arranged]_discogs,Violin_discogs,Music By [Co-written]_discogs,Lyrics By [Co-written]_discogs,Backing Vocals_discogs,Pipe [Šurle]_discogs,Bagpipes_discogs,Programmed By_discogs,Double Bass_discogs,Kazoo_discogs,Engineer_discogs,Soprano Saxophone_discogs,Voice [French]_discogs,Written-By_discogs,Pipe [Fife]_discogs,Tin Whistle_discogs,Lyrics By_discogs,Accordion_discogs,Bandoneon_discogs,Djembe_discogs,Bass_discogs,Drum Programming_discogs,Music By_discogs,Arranged By_discogs,Double Bass [Contrabass]_discogs,Guitar_discogs,Harmonium_discogs,Vocals_discogs,Tambourine [Riqq]_discogs,Effects [Concrete Sounds]_discogs,Piano_discogs,Trumpet_discogs,Performer [Ghitak]_discogs,Clarinet_discogs,Goblet Drum [Tarabuka]_discogs,Saxophone [Sopran]_discogs,Sitar_discogs,Strings_discogs,Trombone_discogs,Drums [Duf]_discogs,Melodica_discogs,Organ_discogs,Saxophone_discogs,Album_year_discogs,Featuring_discogs,Written By_discogs,Cello_discogs,Stylophone [Bass]_discogs,Choir [Zbor Kojota]_discogs,Tuba_discogs,Viola_discogs,Synthesizer_discogs,Contrabass_discogs,Tenor Saxophone_discogs,Album_year_title_discogs,All_albums_discogs
Darko Rundek,Darko Rundek,Ti I Ja,4:20,Ruke,,Đani Pervan,,,,,,,,,,,,,,,,,,,Darko Rundek,,,,,,Darko Rundek,,Marc Buronfosse,Jean-Baptist Laya,,,,Vedran Peternel,Dušan Vranić,Igor Pavlica,,,,,,,Nenad Grahovac,,,,Jakša Kriletić,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Mlin Reggae,7:24,Ruke,,,,,,,,,,,,,,,,,,,,,Darko Rundek,,Dušan Vranić,,Darko Rundek,,Darko Rundek,,,Darko Rundek,,,,,Dušan Vranić,,,,Đani Pervan,,Dušan Vranić,,,,,,,,,,,,,,,,,,nan-Ruke,nan-Ruke
Darko Rundek,Darko Rundek,Sanoborska,2:31,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Komendrijaši,8:22,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Komendrijaši - Lemona Lemonini,2:25,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Komendrijaši - Se Pol Na Pol,2:32,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Kalendarška,3:42,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Lamentacija O Štibri,2:16,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Krava Na Orehu,0:32,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Kevenhiler,3:08,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Keglovichiana,2:23,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Keglovichiana - Erdegata,2:35,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Keglovichiana - Trojstrucni Dar,2:15,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Keglovichiana - Jarebice Fine Ptice,2:07,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đani Pervan,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Na Mukah,3:55,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,Isabel (9),,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Gumbelijum Ruža Fino Diši,3:02,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,Željko Vukmirica,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Sectio Anatomica,2:33,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,Isabel (9),,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Planetarium - Vešča,2:37,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Planetarium - Daljine Meglene I Kalne,2:09,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Planetarium - Tristotin Banov,4:50,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Planetarium - Lepa Naša Doloroza,1:42,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Planetarium - Vreni Mili Naši,2:20,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Goreči Črleni Mak,3:23,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Epilog,1:18,Balade Petrice Kerempuha,,,,,,,,,,,,,,,,,,,,,,,,,,,Isabel (9),,,,,,,,,,,,,,,,,,,,,2008.0,,,,,,,,,,,2008.0-Balade Petrice Kerempuha,2008.0-Balade Petrice Kerempuha
Darko Rundek,Darko Rundek,Valcer (Radio Edit),4:29,Valcer,,,,,,,,,,,,,,,,,,,,,Mario Barišin,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Darko Rundek,Mario Barišin,,,,,,,,,2010.0-Valcer,2010.0-Valcer
Darko Rundek,Darko Rundek,Valcer (Instrumental),4:27,Valcer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,,,,,,,,,,,2010.0-Valcer,2010.0-Valcer
Darko Rundek,Darko Rundek,"""ApoCalypso"" • Remaster 2017",,ApoCalypso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ApoCalypso,nan-ApoCalypso
Darko Rundek,Darko Rundek,ApoCalypso,3:58,ApoCalypso,,,,,,Sergej Novoselić,,,Mladen Juričić,,,,,,,,,,,,,,,,,,,,,Žan Jakopač,,,,,,,,,,,,,Nikola Santro,,,,,,,,Tin Mršić,,,,,,,,nan-ApoCalypso,nan-ApoCalypso
Darko Rundek,Darko Rundek,"""U Širokom Svijetu"" • Originalno Izdanje 2000.",,ApoCalypso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ApoCalypso,nan-ApoCalypso
Darko Rundek,Darko Rundek,"Haustor ""Dovitljivi Mali Čudaci"" • Dosad Neobjavljeno, 1990.",,ApoCalypso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ApoCalypso,nan-ApoCalypso
Darko Rundek,Darko Rundek,Disanje,3:12,ApoCalypso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-ApoCalypso,nan-ApoCalypso
