Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Composed By_discogs,Arranged By_discogs,Lyrics By_discogs,Album_title_discogs,Music By_discogs,Text By_discogs,Album_year_discogs,Vocals [Guest]_discogs,Backing Vocals_discogs,Cimbalom_discogs,Programmed By_discogs,Bass_discogs,Keyboards_discogs,Acoustic Guitar_discogs,Mandolin_discogs,Tamburitza_discogs,Vocals_discogs,Written-By_discogs,Harmonica_discogs,Electric Guitar_discogs,Violin_discogs,Flute_discogs,Accordion_discogs,Directed By_discogs,Featuring_discogs,Guest_discogs,Written By_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Miroslav Škoro,Miroslav Škoro,Ne Vjeruje Srce Pameti,3:56,,,,Milo Moje,,,,,Željko Barba,Damir Hajduk,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Aleksandar Homoky,Verica Radić,Miroslav Škoro,,,,,,,,,,,nan-Milo Moje,nan-Milo Moje/2007.0-Sve Najbolje/2008.0-Tri Kuma - No'1/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Zbog Tebe Mi Srce Stade,4:03,,,,Milo Moje,,,,,Željko Barba,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,,Miroslav Škoro,,,,,,,,,,,nan-Milo Moje,nan-Milo Moje
Miroslav Škoro,Miroslav Škoro,Molio Sam Boga Za Te,3:28,,,,Milo Moje,,,,,Željko Barba,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,,Miroslav Škoro,,,,,,,,,,,nan-Milo Moje,nan-Milo Moje/2007.0-Sve Najbolje/2008.0-Tri Kuma - No'1/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Tamo Gdje Je Dom,3:57,,Ivica Murat,,Milo Moje,,,,,Željko Barba,,Ivica Murat,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,Aleksandar Homoky,,Miroslav Škoro,Ivica Murat,Nikša Bratoš,,,,,,,,,nan-Milo Moje,nan-Milo Moje/2007.0-Sve Najbolje/2008.0-Tri Kuma - No'1/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2013.0-Sve Najbolje!/2014.0-Od Kud Ti Pravo
Miroslav Škoro,Miroslav Škoro,"Reci, Brate Moj",4:25,,,,Milo Moje,,,,,Tiho Orlić,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,Marko Perković Thompson,Miroslav Škoro,,,,,,,,,,,nan-Milo Moje,nan-Milo Moje/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Čet'ri Vitra,3:49,,Ivica Murat,Miroslav Škoro,Milo Moje,Željko Barba,,,,Željko Barba,,Ivica Murat,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,,,,Nikša Bratoš,,,,,,,,,nan-Milo Moje,nan-Milo Moje/2007.0-Sve Najbolje/2011.0-Najljepše Ljubavne Pjesme/2013.0-Sve Najbolje!/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Ne Reci Ne,2:54,,Ivica Murat,Miroslav Škoro,Milo Moje,Željko Barba,,,,Željko Barba,,Ivica Murat,Ivica Murat,Nikša Bratoš,Nikša Bratoš,,,,,,,Emil Gabrić,,,,,,,,nan-Milo Moje,nan-Milo Moje/2007.0-Sve Najbolje/2013.0-Sve Najbolje!
Miroslav Škoro,Miroslav Škoro,Milo Moje,4:10,,,Miroslav Škoro,Milo Moje,Željko Barba,,,,Željko Barba,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,,,,Nikša Bratoš,,,,,,,,,nan-Milo Moje,nan-Milo Moje/2008.0-Tri Kuma - No'1/2011.0-Najljepše Ljubavne Pjesme/2014.0-Ne Vjeruje Srce Pameti
Miroslav Škoro,Miroslav Škoro,Sude Mi,3:56,,Ivica Murat,,Milo Moje,,,,,Željko Barba,,Ivica Murat,,Nikša Bratoš,Nikša Bratoš,,Aleksandar Homoky,Marko Perković Thompson,Miroslav Škoro,,Nikša Bratoš,,Ivica Murat,,,,,,,nan-Milo Moje,nan-Milo Moje/2007.0-Sve Najbolje/2008.0-Tri Kuma - No'1/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2013.0-Sve Najbolje!/nan-Domovina
Miroslav Škoro,Miroslav Škoro,Laku Noć Ljubavi,4:25,,,Miroslav Škoro,Milo Moje,Željko Barba,,,,Ivica Murat,,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,Nikša Bratoš,,,,,,Nikša Bratoš,,,Muc Softić,,,,,,nan-Milo Moje,nan-Milo Moje/2010.0-Stoput Bih Isto Ponovio - Autobiografija/2011.0-Najljepše Ljubavne Pjesme/2014.0-Ne Vjeruje Srce Pameti
