Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Adapted By_discogs,Arranged By_discogs,Album_title_discogs,Written-By_discogs,Lyrics By_discogs,Music By_discogs,Album_year_discogs,Adapted By [Music]_discogs,Lyrics By [dt.:]_discogs,Lyrics By [Yugoslavian]_discogs,Conductor_discogs,Orchestra_discogs,Strings_discogs,Vocals [Child]_discogs,Arranged By [Co-arranged]_discogs,Lyrics By [Co-written]_discogs,Featuring [Uncredited]_discogs,Musician_discogs,Vocals_discogs,Backing Vocals_discogs,Programmed By_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Novi Fosili,Novi Fosili,Moj Pas Reks,,,,Moj Pas Reks / Ne Pričaj Tu Priču,,Slavomir Cvija,Svemir Opara,1975.0,,,,,,,,,,,,,,,,1975.0-Moj Pas Reks / Ne Pričaj Tu Priču,1975.0-Moj Pas Reks / Ne Pričaj Tu Priču
Novi Fosili,Novi Fosili,Ne Pričaj Tu Priču,,,,Moj Pas Reks / Ne Pričaj Tu Priču,,Marija Radović-Ivasović,Slavomir Cvija,1975.0,,,,,,,,,,,,,,,,1975.0-Moj Pas Reks / Ne Pričaj Tu Priču,1975.0-Moj Pas Reks / Ne Pričaj Tu Priču
Novi Fosili,Novi Fosili,Rozamunda (Rosamunde),,,Stipica Kalogjera,Rozamunda / Za Tvoju Ljubav,Otto Ebner,Václav Zeman,Jaromír Vejvoda,1975.0,,,Mišo Doležal,,,,,,,,,,,,,1975.0-Rozamunda / Za Tvoju Ljubav,1975.0-Rozamunda / Za Tvoju Ljubav
Novi Fosili,Novi Fosili,Za Tvoju Ljubav,,,Stipica Kalogjera,Rozamunda / Za Tvoju Ljubav,,Svemir Opara,Svemir Opara,1975.0,,,,,,,,,,,,,,,,1975.0-Rozamunda / Za Tvoju Ljubav,1975.0-Rozamunda / Za Tvoju Ljubav
Novi Fosili,Novi Fosili,Plovi Mala Barka,,,,Plovi Mala Barka / Dok Me Čekaš,,Hrvoje Hegedušić,,1976.0,,,,,,,,,,,,,,,,1976.0-Plovi Mala Barka / Dok Me Čekaš,1976.0-Plovi Mala Barka / Dok Me Čekaš
Novi Fosili,Novi Fosili,Dok Me Čekaš,,,,Plovi Mala Barka / Dok Me Čekaš,,Ivica Kasumović,,1976.0,,,,,,,,,,,,,,,,1976.0-Plovi Mala Barka / Dok Me Čekaš,1976.0-Plovi Mala Barka / Dok Me Čekaš
Novi Fosili,Novi Fosili,Diridonda,,,,Diridonda,,,,,,,,,,,,,,,,,,,,nan-Diridonda,nan-Diridonda/nan-Da Te Ne Volim/2006.0-The Platinum Collection/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2019.0-50 Originalnih Pjesama
Novi Fosili,Novi Fosili,Lu-La-Lu,,,,Diridonda,,,,,,,,,,,,,,,,,,,,nan-Diridonda,nan-Diridonda
Novi Fosili,Novi Fosili,Kuca Moje Srce,,,,Kuca Moje Srce / Vrijeme Mladosti,,Hrvoje Hegedušić,Hrvoje Hegedušić,,,,,,,,,,,,,,,,,nan-Kuca Moje Srce / Vrijeme Mladosti,nan-Kuca Moje Srce / Vrijeme Mladosti
Novi Fosili,Novi Fosili,Vrijeme Mladosti,,,,Kuca Moje Srce / Vrijeme Mladosti,,Aleksandar Bujić,Rajko Dujmić,,,,,,,,,,,,,,,,,nan-Kuca Moje Srce / Vrijeme Mladosti,nan-Kuca Moje Srce / Vrijeme Mladosti
