Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Remix_discogs,Featuring_discogs,Arranged By_discogs,Music By_discogs,Lyrics By_discogs,Vocals [Duet]_discogs,Written-By_discogs,Composed By_discogs,Album_year_title_discogs,All_albums_discogs
Jacques Houdek,Jacques Houdek,The Christmas Song,3:22,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Deck The Halls,1:45,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Silent Night,3:19,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Let It Snow,3:04,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,"O, Holy Night",4:52,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,We Wish You A Merry Christmas,1:58,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Mary's Boy Child,2:34,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,The Little Drummer Boy,3:43,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Have Yourself A Merry Little Christmas,3:50,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Jingle Bells,3:08,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Adeste Fideles,3:07,Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0,,,,,,,,,2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits),2009.0-Najveći Božićni Hitovi (The Greatest Christmas Hits)
Jacques Houdek,Jacques Houdek,Kao Kap Kiše,3:57,Najljepše Ljubavne Pjesme,2010.0,,,,,,,,,2010.0-Najljepše Ljubavne Pjesme,2010.0-Najljepše Ljubavne Pjesme
Jacques Houdek,Jacques Houdek,Otkad Nemam Te,4:30,Najljepše Ljubavne Pjesme,2010.0,,,,,,,,,2010.0-Najljepše Ljubavne Pjesme,2010.0-Najljepše Ljubavne Pjesme
Jacques Houdek,Jacques Houdek,Live,,Live!,2010.0,,,,,,,,,2010.0-Live!,2010.0-Live!
Jacques Houdek,Jacques Houdek,Everlasting Spring,,Live!,2010.0,,,,,,,,,2010.0-Live!,2010.0-Live!
Jacques Houdek,Jacques Houdek,Meni Za Ljubav,3:49,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav/2015.0-The Best Of Collection
Jacques Houdek,Jacques Houdek,Srećom Imam Tebe,2:59,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav/2015.0-The Best Of Collection
Jacques Houdek,Jacques Houdek,Stotinama Godina,3:04,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav/2015.0-The Best Of Collection
Jacques Houdek,Jacques Houdek,Zid,4:22,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav/2015.0-The Best Of Collection
Jacques Houdek,Jacques Houdek,Nov Čovjek,4:13,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav/2015.0-The Best Of Collection
Jacques Houdek,Jacques Houdek,Kraljica,3:52,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek,Soba Bola,3:31,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek,Pričaj,3:58,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek,Sam Bez Ljubavi,3:43,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek,Skriveno,4:05,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek,Bonus Tracks,,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek,Go And Get It,3:00,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek,Compass,3:04,Meni Za Ljubav,,,,,,,,,,nan-Meni Za Ljubav,nan-Meni Za Ljubav
Jacques Houdek,Jacques Houdek, Stvorena Samo Za Mene,4:34,The Best Of Collection,2015.0,,,,,,,,,2015.0-The Best Of Collection,2015.0-The Best Of Collection
Jacques Houdek,Jacques Houdek,Bonus:,,The Best Of Collection,2015.0,,,,,,,,,2015.0-The Best Of Collection,2015.0-The Best Of Collection
Jacques Houdek,Jacques Houdek,Slap Ljubavi,3:43,Slap Ljubavi,2016.0,,,Zlatko Čošić,,,,Željko Zovko,,2016.0-Slap Ljubavi,2016.0-Slap Ljubavi
Jacques Houdek,Jacques Houdek,Ima Nešto U Tome,4:21,Ima Nešto U Tome,2016.0,,,,,Vjekoslava Huljić,,,Tonči Huljić,2016.0-Ima Nešto U Tome,2016.0-Ima Nešto U Tome
Jacques Houdek,Jacques Houdek,"Miruj, Miruj, Srce Moje",,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Ima Dana,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Ne Vrijedi Plakati,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Kad Bi Ove Ruže Male,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,"Jesen Stiže, Dunjo Moja",,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Na Te Mislim,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Ti Bi Htjela Pjesmom Da Ti Kažem,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Blijedi Mjesec,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Jesenje Lišće,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,Nekada Sam I Ja Volio Plavo Cvijeće,,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,"Bolujem Ja, Boluješ Ti",,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,"Tiho, Noći, Moje Zlato Spava",,"Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme",2016.0,,,,,,,,,"2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme","2016.0-Tko Je, Srce, U Te Dirn'o? / Najljepše Starogradske Pjesme"
Jacques Houdek,Jacques Houdek,My Friend,3:00,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,My Friend (Acoustic),3:00,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,My Friend (Remix),3:35,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,My Friend (Instrumental),3:01,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,My Friend (Official Music Video),3:02,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,My Friend (Official Lyric Video),3:02,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,My Friend (Official Acoustic Video),3:05,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,My Friend (Official Remix Video),3:36,My Friend,2017.0,,,,,,,,,2017.0-My Friend,2017.0-My Friend
Jacques Houdek,Jacques Houdek,Pravi Sretnik,2:57,Pravi Sretnik,2018.0,,,,,,,,,2018.0-Pravi Sretnik,2018.0-Pravi Sretnik/2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Srce,3:35,#Srce,2018.0,,,,,,,,,2018.0-#Srce,2018.0-#Srce/2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Sam,4:00,Sam,2018.0,,,,,,,,,2018.0-Sam,2018.0-Sam/2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Lavina,3:39,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Odgovor,3:31,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Čista Umjetnost,3:56,Glavom I Bradom 20/20,2020.0,,Nina Kraljić,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Pucanj U Prazno,3:16,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Teret,4:01,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Srce Pamti Zauvijek,3:18,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Posljednji Samuraj,3:40,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Bit Ću Tvoje Oči,3:22,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Moj Najveći Strah,3:32,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Zvijezdo Moga Neba,3:49,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Više Od Zavjeta,4:31,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Život,4:06,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Kad Nekoga Voliš,4:17,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Posao,3:39,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Voli Do Boli,3:48,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Ne Boli Ljubav Odmah Jako,3:30,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
Jacques Houdek,Jacques Houdek,Razgovor,3:50,Glavom I Bradom 20/20,2020.0,,,,,,,,,2020.0-Glavom I Bradom 20/20,2020.0-Glavom I Bradom 20/20
