Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Guest_discogs,Composed By_discogs,Vocals [Duet]_discogs,Featuring_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mladen Grdović,Mladen Grdović,Sedam Mora,2:50,,Tu Je Moj Dom,1994.0,,,,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom/nan-Nije U Šoldima Sve/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,U Ljetnu Noć,3:57,Neven Korda,Tu Je Moj Dom,1994.0,Toni Eterović,Toni Eterović,,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom/nan-Za Zaljubljene
Mladen Grdović,Mladen Grdović,"Noć Je Za Radost, A Jutro Za Bol",3:26,,Tu Je Moj Dom,1994.0,,,Tomislav Ivčić,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom
Mladen Grdović,Mladen Grdović,Život Svoj,2:58,Alka Vuica,Tu Je Moj Dom,1994.0,,,,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom/nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Bog Mi Je Dao Sve,3:23,,Tu Je Moj Dom,1994.0,,,,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom
Mladen Grdović,Mladen Grdović,"Zapivaj, Klapo Moja",3:58,,Tu Je Moj Dom,1994.0,,,,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom
Mladen Grdović,Mladen Grdović,Plačem Za Tobom,3:00,,Tu Je Moj Dom,1994.0,,Tomislav Ivčić,,,,,,,1994.0-Tu Je Moj Dom,1994.0-Tu Je Moj Dom
Mladen Grdović,Mladen Grdović,Canta Amore,,,Za Zaljubljene,,,,,,,,,,nan-Za Zaljubljene,nan-Za Zaljubljene/nan-Nije U Šoldima Sve/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Zivot Svoj,,,Za Zaljubljene,,,,,,,,,,nan-Za Zaljubljene,nan-Za Zaljubljene
Mladen Grdović,Mladen Grdović,Dalmatinac,,,Za Zaljubljene,,,,,,,,,,nan-Za Zaljubljene,nan-Za Zaljubljene/nan-Ako Odeš Ti/nan-Nije U Šoldima Sve/nan-Za Sva Vrimena - Mix Hitova/2004.0-20 hitova/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu/2009.0-Evo Mene Moji Ljudi! (Koncert)/2014.0-50 Originalnih Pjesama/2015.0-Tri Kralja Zabave/2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Bella Mia,,,Za Zaljubljene,,,,,,,,,,nan-Za Zaljubljene,nan-Za Zaljubljene/nan-Nije U Šoldima Sve
Mladen Grdović,Mladen Grdović,Ti Si Moja Bol,,,Za Zaljubljene,,,,,,,,,,nan-Za Zaljubljene,nan-Za Zaljubljene/nan-Ako Odeš Ti/nan-Za Sva Vrimena - Mix Hitova/2010.0-Najljepše Ljubavne Pjesme
Mladen Grdović,Mladen Grdović,Plaćem Za Tobom,,,Za Zaljubljene,,,,,,,,,,nan-Za Zaljubljene,nan-Za Zaljubljene
Mladen Grdović,Mladen Grdović,Nek Mi Noćas Suze Liju,,,Za Zaljubljene,,,,,,,,,,nan-Za Zaljubljene,nan-Za Zaljubljene/nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,"Gloria, Sempre, Sempre, Voglio L' Anima, Se M' Innamoro, Mamma Maria, Picollo Amore, Felicità, Insieme",10:13,,Italia Mix,,,,,,,,,,nan-Italia Mix,nan-Italia Mix
Mladen Grdović,Mladen Grdović,"Ti Amo, Parla Mi D' Amore, Se Bastase Una Bella Canzone, Gente Di Mare",7:30,,Italia Mix,,,,,,,,,,nan-Italia Mix,nan-Italia Mix
Mladen Grdović,Mladen Grdović,Tornerò,4:45,,Italia Mix,,,,,,,,,,nan-Italia Mix,nan-Italia Mix
Mladen Grdović,Mladen Grdović,"Manuela, Diamante, Libertà, Vino Amaro, Tu, Soltanto Tu, Tu Sei L' Unica Donna Per Me",10:08,,Italia Mix,,,,,,,,,,nan-Italia Mix,nan-Italia Mix
Mladen Grdović,Mladen Grdović,"L' Italiano, Serenata, Mediterraneo, Per Lucia, Ci Sarà",8:15,,Italia Mix,,,,,,,,,,nan-Italia Mix,nan-Italia Mix
Mladen Grdović,Mladen Grdović,Volare,3:10,,Italia Mix,,,,,,,,,,nan-Italia Mix,nan-Italia Mix
Mladen Grdović,Mladen Grdović,Ako Odeš Ti,4:02,,Ako Odeš Ti,,,,,,,,,,nan-Ako Odeš Ti,nan-Ako Odeš Ti/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Bog Mi Dao Sve,3:24,,Ako Odeš Ti,,,,,,,,,,nan-Ako Odeš Ti,nan-Ako Odeš Ti/nan-Za Sva Vrimena - Mix Hitova/2010.0-Najljepše Ljubavne Pjesme
Mladen Grdović,Mladen Grdović,Natalija,4:32,,Ako Odeš Ti,,,,,,,,,,nan-Ako Odeš Ti,nan-Ako Odeš Ti/nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,"Samo Ti, Dalmacijo",4:03,,Ako Odeš Ti,,,,,,,,,,nan-Ako Odeš Ti,nan-Ako Odeš Ti/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Voli Me Ti,4:12,,Ako Odeš Ti,,,,,,,,,,nan-Ako Odeš Ti,nan-Ako Odeš Ti/nan-Za Sva Vrimena - Mix Hitova/2010.0-Najljepše Ljubavne Pjesme
Mladen Grdović,Mladen Grdović,Nije U Šoldima Sve,,,Nije U Šoldima Sve,,,,,,,,,,nan-Nije U Šoldima Sve,nan-Nije U Šoldima Sve/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Evo Mene Moji Ljudi/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Serenada,,,Nije U Šoldima Sve,,,,,,,,,,nan-Nije U Šoldima Sve,nan-Nije U Šoldima Sve/nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija
Mladen Grdović,Mladen Grdović,Tomislave,,,Nije U Šoldima Sve,,,,,,,,,,nan-Nije U Šoldima Sve,nan-Nije U Šoldima Sve
Mladen Grdović,Mladen Grdović,Kap Vječnosti,,,Nije U Šoldima Sve,,,,,,,,,,nan-Nije U Šoldima Sve,nan-Nije U Šoldima Sve/2010.0-Najljepše Ljubavne Pjesme
Mladen Grdović,Mladen Grdović,Ekskurzija,,,Nije U Šoldima Sve,,,,,,,,,,nan-Nije U Šoldima Sve,nan-Nije U Šoldima Sve/nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Sve Za Ljubav,,,18 Zlatnih Hitova,,,,,,,,,,nan-18 Zlatnih Hitova,nan-18 Zlatnih Hitova/nan-Za Sva Vrimena - Mix Hitova/2004.0-Hitovi 1/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Evo Mene Moji Ljudi/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,"Neka, Neka, Nek' Se Zna",,,18 Zlatnih Hitova,,,,,,,,,,nan-18 Zlatnih Hitova,nan-18 Zlatnih Hitova
Mladen Grdović,Mladen Grdović,Mix A - Nije U Šoldima Sve,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Baciti Ću Mandolinu,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Mix B - Tu Je Moj Dom,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Sveti Donat I Kalelarga,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Mama,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2014.0-50 Originalnih Pjesama/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Mix C - Canta Amore,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Adio Mare,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Come La Mamma,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Gobbon,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Sve Za Ljubav (Originalna Verzija),,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Mix D - Bog Mi Dao Sve,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Mix E - Odlazim,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
