Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Guest_discogs,Composed By_discogs,Vocals [Duet]_discogs,Featuring_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mladen Grdović,Mladen Grdović,Samo more to zna,4:34,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Dida moj,3:55,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Kada odem,3:36,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Da si moja tila bit,3:19,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Moja Mare,4:21,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Crveni Ferarri,3:20,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Tu se nosi bila boja,4:07,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Moja ćaća,4:26,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Mila mati,4:15,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Dvi sestre,3:52,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Dilila su zemlju braća,3:19,,Samo more to zna,2014.0,,,,,,,,,2014.0-Samo more to zna,2014.0-Samo more to zna
Mladen Grdović,Mladen Grdović,Tu Se Nosi Bila Boja,4:07,,50 Originalnih Pjesama,2014.0,,,,,,,,,2014.0-50 Originalnih Pjesama,2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Dvi Sestre,3:52,,50 Originalnih Pjesama,2014.0,,,,,,,,,2014.0-50 Originalnih Pjesama,2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,"Neću Krivit Cili Svit (Dobro Ti Jutro, More)",3:44,,50 Originalnih Pjesama,2014.0,,,,,,,,,2014.0-50 Originalnih Pjesama,2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Oči Boje Lavande,3:22,,50 Originalnih Pjesama,2014.0,,,,,,,,,2014.0-50 Originalnih Pjesama,2014.0-50 Originalnih Pjesama/2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Triba Bižat Svojoj Srići,3:37,,50 Originalnih Pjesama,2014.0,,,,,,,,,2014.0-50 Originalnih Pjesama,2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,"Di Je More, Di Je Cvit",3:34,,50 Originalnih Pjesama,2014.0,,,,,,,,,2014.0-50 Originalnih Pjesama,2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,"E, Da Ćaća Zna",4:22,,50 Originalnih Pjesama,2014.0,,,,,,,,,2014.0-50 Originalnih Pjesama,2014.0-50 Originalnih Pjesama/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Dražen Zečić,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Pokidat Ću Lance Sve,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Govore Mi Mnogi Ljudi,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave/2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Zora,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Opiti Nikad Se Neću,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,U Ime Ljubavi,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Ne Pitaj Malog S Bilin Šalom Di Će,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Alkohol,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Dilila Su Brača,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Jasmin Stavros,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Opala,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Ljubomorni Ljudi,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Neka Je Šarala,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Dao Bi Sto Amerika,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Dijamant,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Kad Se Prijatelji Rastaju,,,Tri Kralja Zabave,2015.0,,,,,,,,,2015.0-Tri Kralja Zabave,2015.0-Tri Kralja Zabave
Mladen Grdović,Mladen Grdović,Evo Mene Moji Judi,3:57,Nenad Ninčević,Orange Collection,2015.0,Stipica Kalogjera,Mladen Grdović,,,,,,,2015.0-Orange Collection,2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Sedam Dana Sedam Noći,4:00,Nenad Ninčević,Orange Collection,2015.0,Stipica Kalogjera,Nenad Ninčević,,,,,,,2015.0-Orange Collection,2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Ljubav Moja Si Ti,2:25,Mladen Grdović,Orange Collection,2015.0,Igor Ivanović,Mladen Grdović,,,,,,,2015.0-Orange Collection,2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Dalmatinac (Koncert),3:13,Nenad Ninčević,Orange Collection,2015.0,Joško Banov,Mladen Grdović,,,,,,,2015.0-Orange Collection,2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Ostavljam Vas Moji NajdražI,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Uzorita,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Dva Goluba,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Nek Se Čuje Pisma S Jadrana,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Zemlja Dide Mog,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Da San Ima Mota,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Iz Tuđine Dolazim Ti Brate,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Boliš Me Ljubavi,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Dalmatinka Mala,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Škoji Mili,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Jubim Dan Kad San Te Srija,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Božić Je,,,Nek' Se Čuje Pisma S Jadrana,2016.0,,,,,,,,,2016.0-Nek' Se Čuje Pisma S Jadrana,2016.0-Nek' Se Čuje Pisma S Jadrana
Mladen Grdović,Mladen Grdović,Ostavljam Vas Moji Najdraži ,,,The Best Of Collection,2017.0,,,,,,,,,2017.0-The Best Of Collection,2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Crno Vino ,,,The Best Of Collection,2017.0,,,,,,,,,2017.0-The Best Of Collection,2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Odlazim ,,,The Best Of Collection,2017.0,,,,,,,,,2017.0-The Best Of Collection,2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Zaljubljen Sam U Te,,,The Best Of Collection,2017.0,,,,,,,,,2017.0-The Best Of Collection,2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Neću Krivit Cili Svit,,,The Best Of Collection,2017.0,,,,,,,,,2017.0-The Best Of Collection,2017.0-The Best Of Collection/2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,E Da Mi Je Vratit Vrime,,,The Best Of Collection,2017.0,,,,,,,,,2017.0-The Best Of Collection,2017.0-The Best Of Collection
Mladen Grdović,Mladen Grdović,Jubim Dan Kad Sam Te Srija,,,Moji Sentimenti,2019.0,,,,,,,,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Samo More To Zna,,,Moji Sentimenti,2019.0,,,,,,,,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Sanjam Sto Anđela,,,Moji Sentimenti,2019.0,,,,,,,,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Nisan Te Zavridija,,,Moji Sentimenti,2019.0,,,,,,,,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Kada Odem,,,Moji Sentimenti,2019.0,,,,,,,,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović," Dalmacijo, Ime Si Mi Dala",,,Moji Sentimenti,2019.0,,,,,,,,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović,Nek' Se Čuje Pisma S Jadrana ,,,Moji Sentimenti,2019.0,,,,,,,Klapa Munita,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
Mladen Grdović,Mladen Grdović," Buona Notte, Spavaj Zadre  ",,,Moji Sentimenti,2019.0,,,,,,,,,2019.0-Moji Sentimenti,2019.0-Moji Sentimenti
