Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Backing Vocals_discogs,Conductor_discogs,Lyrics By_discogs,Orchestra_discogs,Backing Band_discogs,Written-By_discogs,Ensemble_discogs,Congas_discogs,Edited By_discogs,Engineer_discogs,Keyboards_discogs,Mixed By_discogs,Soprano Vocals [Intro]_discogs,Bass Guitar_discogs,Drums_discogs,Guitar_discogs,Producer_discogs,Technician_discogs,Piano_discogs,Tenor Saxophone_discogs,Electric Guitar_discogs,Electric Guitar [12 String]_discogs,Electric Piano_discogs,Mixed By [Final Mix]_discogs,Organ [Hammond B3]_discogs,Percussion_discogs,Recorded By_discogs,Orchestrated By_discogs,Musician_discogs,Programmed By [Emulator Ii Hd]_discogs,Programmed By_discogs,Programmed By [EMULATOR II and EMAX]_discogs,Guitar [Solo]_discogs,Programmed By [PPG WAVE 2.3]_discogs,Drum Programming [YAMAHA R-20]_discogs,Programmed By [EMAX]_discogs,Baritone Saxophone_discogs,Programmed By [EMULATOR II]_discogs,Programmed By [OBERHEIM MATRIX 6_discogs,YAMAHA DX7]_discogs,Vocals_discogs,Featuring_discogs,Adapted By_discogs,Drum_discogs,Trombone_discogs,Trumpet_discogs,Arranged By [Stings]_discogs,Acoustic Guitar_discogs,Organ_discogs,Arranged By [Winds]_discogs,Soprano Saxophone_discogs,Remix_discogs,Acoustic Guitar [Solo]_discogs,Saxophone_discogs,Double Bass_discogs,Vibraphone_discogs,Saxophone [Alto]_discogs,Lyrics By [Additional]_discogs,Lyrics By [Translated]_discogs,Album_year_title_discogs,All_albums_discogs
Josipa Lisac,Josipa Lisac,Igra Valova U Mom Sjećanju (Playing Solitaire With My Memories),3:02,,Najveći Uspjesi 68/73,,Stipica Kalogjera,,Nikica Kalogjera,Vesna Lukatela,,,Phil Coulter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Najveći Uspjesi 68/73,nan-Najveći Uspjesi 68/73
Josipa Lisac,Josipa Lisac,Ostaješ Mi Samo Ti,,,Ostaješ Mi Samo Ti / Ležaj Od Suza,1974.0,Miljenko Prohaska,,Miljenko Prohaska,,"Festivalski Zabavni Orkestar ""Zagreb""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.0-Ostaješ Mi Samo Ti / Ležaj Od Suza,1974.0-Ostaješ Mi Samo Ti / Ležaj Od Suza
Josipa Lisac,Josipa Lisac,Omer Beže,,,Omer Beže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Omer Beže,nan-Omer Beže/2017.0-Posve Slobodna (Suradnje I Etno)
Josipa Lisac,Josipa Lisac,Niz Polje Idu Babo,,,Omer Beže,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Omer Beže,nan-Omer Beže/2017.0-Posve Slobodna (Suradnje I Etno)
Josipa Lisac,Josipa Lisac,Činim Sve U Krivi Čas,,Piero Soffici,Činim Sve U Krivi Čas / Čovjek,1976.0,Piero Soffici,,,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0-Činim Sve U Krivi Čas / Čovjek,1976.0-Činim Sve U Krivi Čas / Čovjek
Josipa Lisac,Josipa Lisac,Čovjek,,Jože Privšek,Činim Sve U Krivi Čas / Čovjek,1976.0,Jože Privšek,,,Ivica Krajač,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0-Činim Sve U Krivi Čas / Čovjek,1976.0-Činim Sve U Krivi Čas / Čovjek
Josipa Lisac,Josipa Lisac,Ave Marija (Odlomak),,,Ave Marija (Odlomak),1976.0,,,,,,,Miljenko Prohaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0-Ave Marija (Odlomak),1976.0-Ave Marija (Odlomak)
Josipa Lisac,Josipa Lisac,Ljudi (People),,,Josipa Lisac & B. P. Convention Big Band International,,,,,,,,Jule Styne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Josipa Lisac & B. P. Convention Big Band International,nan-Josipa Lisac & B. P. Convention Big Band International/nan-Balade/1997.0-Antologija Vol. IV/1997.0-Antologija/2017.0-Original Album Collection Vol. 1/2017.0-Original Album Collection Vol. 2
Josipa Lisac,Josipa Lisac,Nema Sunca (Ain't No Sunshine),,,Josipa Lisac & B. P. Convention Big Band International,,,,,,,,Bill Withers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Josipa Lisac & B. P. Convention Big Band International,nan-Josipa Lisac & B. P. Convention Big Band International/1997.0-Antologija Vol. IV/2017.0-Original Album Collection Vol. 1
Josipa Lisac,Josipa Lisac,Nešto (Something),,,Josipa Lisac & B. P. Convention Big Band International,,,,,,,,George Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Josipa Lisac & B. P. Convention Big Band International,nan-Josipa Lisac & B. P. Convention Big Band International/1997.0-Antologija Vol. IV/1997.0-Antologija/2017.0-Original Album Collection Vol. 1
