Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Album_year_discogs,Lyrics By [English]_discogs,Music By_discogs,Featuring_discogs,Written-By_discogs,Lyrics By [Ana]_discogs,Lyrics By [Ja Nisam Kockar]_discogs,Lyrics By [Lili]_discogs,Lyrics By [Zakuni Se Ljubavi]_discogs,Arranged By_discogs,Adapted By_discogs,Written-by [Slovenska Narodna]_discogs,Vocals [Duet]_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Vlado Kalember,Vlado Kalember,O Da Dir La Da Da,3:58,Evo Noći Evo Ludila,,,,,,Nenad Ninčević,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Evo Noći Evo Ludila,4:10,Evo Noći Evo Ludila,Nenad Ninčević,,,Miro Buljan,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Ana -Ja Nisam Kockar,3:46,Evo Noći Evo Ludila,,,,Đorđe Novković,,,Đorđe Novković,Željko Pavičić,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Lili - Zakuni Se Ljubavi,3:35,Evo Noći Evo Ludila,,,,Đorđe Novković,,,,,Željko Pavičić,Željko Sabol,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Žuto Malo,3:36,Evo Noći Evo Ludila,R. Kalember,,,Đorđe Novković,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Mjesec Ljubi Zvjezdicu,2:31,Evo Noći Evo Ludila,Štefanija Soldan,,,Đorđe Novković,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Nije Zima (Što Je Zima),4:00,Evo Noći Evo Ludila,Fahrudin Pecikoza,,,Đorđe Novković,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Izdali Me Prijatelji,3:05,Evo Noći Evo Ludila,Nenad Ninčević,,,Nenad Ninčević,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Zora Svanula,3:06,Evo Noći Evo Ludila,Zoran Bašić,,,Đorđe Novković,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Ja Plačem Sad,4:14,Evo Noći Evo Ludila,Nenad Ninčević,,,Mario Mihaljević,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Od Ponoći Do Ponoći,3:44,Evo Noći Evo Ludila,Nenad Ninčević,,,Nenad Ninčević,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Okreće Na Buru,3:16,Evo Noći Evo Ludila,Zoran Bašić,,,Đorđe Novković,,,,,,,,,,,,nan-Evo Noći Evo Ludila,nan-Evo Noći Evo Ludila
Vlado Kalember,Vlado Kalember,Sve Je To Zbog Tebe,3:36,Sve Najbolje,Zlatko Sabolek,,,,,,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,"Ne Mogu Ti Reći, Zbogom",4:51,Sve Najbolje,,,,,,,,,,,,,,,,nan-Sve Najbolje,nan-Sve Najbolje
Vlado Kalember,Vlado Kalember,Ljubi Me,3:48,"Pjevaj, Raduj Se",Jadranka Kekelj,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Putuj Srećo,3:33,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Odoh U Mornare,3:55,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Laku Noć Dame,3:52,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Sanjao Sam Samo Jednom,4:51,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Besparica,3:53,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Od Proljeća Do Proljeća,3:46,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Crni Biseru,4:30,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,"Pjevaj, Raduj Se",3:59,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Ti Si Meni Sve Na Svijetu,3:42,"Pjevaj, Raduj Se",,1996.0,,,,,,,,,,,,,,"1996.0-Pjevaj, Raduj Se","1996.0-Pjevaj, Raduj Se/0.0-Pjevaj, Raduj Se "
Vlado Kalember,Vlado Kalember,Često Mi U Noći Dolaziš Pred Oči,3:29,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Ponoć Otkucava,3:35,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Da Li Uz Njega Sjetiš Se Svega,3:35,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Lijepe Oči Lijepo Plaču,3:25,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Dunje Žute,3:12,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Pusti Otok,3:45,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,"E, Moj Gospodine",5:37,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Lažeš Mala,3:42,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Spavaj,4:18,Ponoć Otkucava,,,,,,,,,,,,,,,,nan-Ponoć Otkucava,nan-Ponoć Otkucava
Vlado Kalember,Vlado Kalember,Za Ljubav Me Ne Pitaj,3:15,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,Žena Uspomena,3:00,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,Mi Smo Prvaci,3:08,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,Snježana,3:54,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj/2013.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Vlado Kalember,Vlado Kalember,"Pitaš, Pitaš",3:10,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,Srest' Ćemo Se Opet,3:49,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,Zlatni Šaran,3:16,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,"Pusti Mene, Lutalicu",2:46,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,Bila Bi To Super Stvar,3:03,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,Zaboravi Sve,3:30,Za Ljubav Me Ne Pitaj,,,,,,,,,,,,,,,,nan-Za Ljubav Me Ne Pitaj,nan-Za Ljubav Me Ne Pitaj
Vlado Kalember,Vlado Kalember,Ti Si Bol,3:48,Rano Mi Je Zaspati,,,,,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Godinama,3:36,Rano Mi Je Zaspati,,,,,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Odkad Si Otišla,3:49,Rano Mi Je Zaspati,,,,,,,,,,,Mario Mihaljević,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Adio Bambina,3:00,Rano Mi Je Zaspati,,,,,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Rano Mi Je Zaspati,3:09,Rano Mi Je Zaspati,,,,,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Srčana Greška,2:50,Rano Mi Je Zaspati,,,,,,,,,,,,Vlado Kalember,Traditional,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati/2002.0-Največji Hiti
Vlado Kalember,Vlado Kalember,Srebrna Krila - Mix,4:07,Rano Mi Je Zaspati,Đorđe Novković,,,Đorđe Novković,,,,,,,,,,,,nan-Rano Mi Je Zaspati,nan-Rano Mi Je Zaspati
