Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Vocals [Duet]_discogs,Lyrics By_discogs,Album_year_discogs,Featuring_discogs,Written-By_discogs,Music By_discogs,Vocals_discogs,Written By_discogs,Lyrics By [Co-written]_discogs,Arranged By_discogs,Album_year_title_discogs,All_albums_discogs
Goran Karan,Goran Karan,Uvijek Verujem Da Ljubav Postoji,2:57,Najljepše Ljubavne Pjesme,,,2010.0,,,,,,,,2010.0-Najljepše Ljubavne Pjesme,2010.0-Najljepše Ljubavne Pjesme
Goran Karan,Goran Karan,Lipa Si Lipa,03:49,Romanca Pod Zvizdama,,,2011.0,,,,,,,,2011.0-Romanca Pod Zvizdama,2011.0-Romanca Pod Zvizdama/2011.0-Hitovi/2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,"Partenza (Ay, Ay, Ay)",04:02,Romanca Pod Zvizdama,,,2011.0,,,,,,,,2011.0-Romanca Pod Zvizdama,2011.0-Romanca Pod Zvizdama
Goran Karan,Goran Karan,Putujem Tamo,03:25,Romanca Pod Zvizdama,,,2011.0,,,,,,,,2011.0-Romanca Pod Zvizdama,2011.0-Romanca Pod Zvizdama/2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Tu Non Llores,04:48,Romanca Pod Zvizdama,,,2011.0,,,,,,,,2011.0-Romanca Pod Zvizdama,2011.0-Romanca Pod Zvizdama
Goran Karan,Goran Karan,Granada,04:13,Romanca Pod Zvizdama,,,2011.0,,,,,,,,2011.0-Romanca Pod Zvizdama,2011.0-Romanca Pod Zvizdama/2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Vagabundo,03:47,Romanca Pod Zvizdama,,,2011.0,,,,,,,,2011.0-Romanca Pod Zvizdama,2011.0-Romanca Pod Zvizdama
Goran Karan,Goran Karan,Bohemian Rhapsody,06:17,Romanca Pod Zvizdama,,,2011.0,,,,,,,,2011.0-Romanca Pod Zvizdama,2011.0-Romanca Pod Zvizdama
Goran Karan,Goran Karan,Jubin Te Jubin,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Prozor Kraj Dardina,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi/2012.0-Melodie Znad Adriatyku
