Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Written-By_discogs,Music By_discogs,Backing Vocals_discogs,Lyrics By_discogs,Synthesizer [Juno 106]_discogs,Piano_discogs,Synthesizer [Yamaha Dx7]_discogs,Vocals_discogs,Drums_discogs,Percussion_discogs,Composed By_discogs,Written By_discogs,Producer_discogs,Vocals [Vocal Sample]_discogs,Choir_discogs,Lead Guitar_discogs,Guitar [Lap Steel]_discogs,Trumpet_discogs,Violin_discogs,Performer [Dj]_discogs,Trombone_discogs,Bass Guitar_discogs,Guitar [Solo]_discogs,Cello_discogs,Tenor Saxophone_discogs,Banjo_discogs,Album_year_title_discogs,All_albums_discogs
Psihomodo Pop,Psihomodo Pop,Bomba,4:08,Iste Stvari,1990.0,Ivan Piko Stančić,,,,,,,,,,,Ivan Piko Stančić,Ivan Piko Stančić,,,,,,,,,,,,,,,1990.0-Iste Stvari,1990.0-Iste Stvari/nan-Sexy Magazin/nan-Tko Je Ubio Mickey Mousea?/nan-Best Of/2007.0-The Ultimate Collection/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella
Psihomodo Pop,Psihomodo Pop,Pinokio,3:34,Sexy Magazin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sexy Magazin,nan-Sexy Magazin/1995.0-Pinokio / Starfucker/nan-Unpljugd/nan-Das Beste Aus Der Grossen Hit Parade (Die Schönen Melodien '98)/nan-Tekućih 20/2007.0-The Ultimate Collection/2010.0-'Ste Dobro?/2010.0-'Ste Dobro?/2015.0-Original Album Collection/2015.0-Original Album Collection/2017.0-Live - Unpljugd 2 Gavella/2017.0-Live - Unpljugd 2 Gavella/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Trotl Boy,2:32,Sexy Magazin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sexy Magazin,nan-Sexy Magazin/2004.0-Tekućih 20/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,Kerosin Bluez,4:56,Sexy Magazin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sexy Magazin,nan-Sexy Magazin/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,Polako-Polako,3:44,Sexy Magazin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sexy Magazin,nan-Sexy Magazin/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,Kad Plačeš,3:39,Sexy Magazin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sexy Magazin,nan-Sexy Magazin/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,Hrvatska Mora Pobijediti,4:35,Maxi Single Za Gardiste,1991.0,,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Maxi Single Za Gardiste,1991.0-Maxi Single Za Gardiste
Psihomodo Pop,Psihomodo Pop,Pobjeda,3:58,Maxi Single Za Gardiste,1991.0,,Ivan Piko Stančić,,,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Maxi Single Za Gardiste,1991.0-Maxi Single Za Gardiste
Psihomodo Pop,Psihomodo Pop,Victory,3:58,Maxi Single Za Gardiste,1991.0,,Ivan Piko Stančić,,,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Maxi Single Za Gardiste,1991.0-Maxi Single Za Gardiste
Psihomodo Pop,Psihomodo Pop,Croatia & Freedom,4:35,Maxi Single Za Gardiste,1991.0,,Davor Gobac,,,,,,,,,,,,,,,,,,,,,,,,,,1991.0-Maxi Single Za Gardiste,1991.0-Maxi Single Za Gardiste
Psihomodo Pop,Psihomodo Pop,Volim Crtane Filmove,1:58,Tko Je Ubio Mickey Mousea?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tko Je Ubio Mickey Mousea?,nan-Tko Je Ubio Mickey Mousea?/2007.0-The Ultimate Collection/2015.0-Original Album Collection/2020.0-Greatest Hits Collection
Psihomodo Pop,Psihomodo Pop,Igračka,2:29,Tko Je Ubio Mickey Mousea?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tko Je Ubio Mickey Mousea?,nan-Tko Je Ubio Mickey Mousea?/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,Pisma,2:44,Tko Je Ubio Mickey Mousea?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tko Je Ubio Mickey Mousea?,nan-Tko Je Ubio Mickey Mousea?/1993.0-Mix - 93/2015.0-Original Album Collection
Psihomodo Pop,Psihomodo Pop,"Molim Vas, Striček...",2:11,Tko Je Ubio Mickey Mousea?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Tko Je Ubio Mickey Mousea?,nan-Tko Je Ubio Mickey Mousea?
