Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Written By_discogs,Composed By_discogs,Text By_discogs,Featuring_discogs,Guest_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mate Bulić,Mato Bulić,Samo Jedan Cvijet,3:35,,Pjevajte Sa Mnom,1999.0,,,,,Nenad Ninčević,Nenad Ninčević,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom
Mate Bulić,Mato Bulić,Ne Spremaj Majko Krevet,3:47,,Pjevajte Sa Mnom,1999.0,,,,,Nenad Ninčević,Nenad Ninčević,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom
Mate Bulić,Mato Bulić,Svatovska,2:41,,Pjevajte Sa Mnom,1999.0,,,,,Goran Šimunović,Goran Šimunović,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom/2003.0-Anthology - Najveći Hitovi
Mate Bulić,Mato Bulić,Limunada,3:18,,Pjevajte Sa Mnom,1999.0,,,,,G. Nikolić,G. Nikolić,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom
Mate Bulić,Mato Bulić,Evo mene tvog bećara,3:06,,Pjevajte Sa Mnom,1999.0,,,,,Frano Kraljević,Frano Kraljević,,,,1999.0-Pjevajte Sa Mnom,1999.0-Pjevajte Sa Mnom
Mate Bulić,Mato Bulić,Bećar,,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)"
Mate Bulić,Mato Bulić,"Čujem Draga, Bit Će Svatovi",,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)/2013.0-Zlatna Kolekcija"
Mate Bulić,Mato Bulić,Okovi Ljubavi,,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection"
Mate Bulić,Mato Bulić,Ima Jedna Mala,,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)"
Mate Bulić,Mato Bulić,"Ej, Sudbino, Sestro",,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)"
Mate Bulić,Mato Bulić,"Dodijalo, Pajdo",,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection"
Mate Bulić,Mato Bulić,Bog Samo Zna,,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)"
Mate Bulić,Mato Bulić,"Mala Moja, Oko Plavo",,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)"
Mate Bulić,Mato Bulić,"Tiho, Tiho, Teče Neretva",,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)"
Mate Bulić,Mato Bulić,Ja Još Uvijek Kao Momak Živim,,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection"
Mate Bulić,Mato Bulić,"Ej, Kavano, Kućo Stara",,,"Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)",,,,,,,,,,,"nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)","nan-Uživo, Split (Snimka Koncerta Sa Starog Hajdukova Placa)"
Mate Bulić,Mato Bulić,Gori Borovina,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2008.0-Tri Kuma - No'1/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Dabogda Se I Ti Udala,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2008.0-Tri Kuma - No'1/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Pozdravi Je Ti,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Hodam Krivom Stranom,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina
Mate Bulić,Mato Bulić,Igraj Mare Prašina Se Diže,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2008.0-Tri Kuma - No'1
Mate Bulić,Mato Bulić,Vijavica,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Mala Moja Oko Plavo,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi
Mate Bulić,Mato Bulić,"Pjevaj Sestro, Pjevaj Brate",,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi
Mate Bulić,Mato Bulić,Moja Hercegovina,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2008.0-Tri Kuma - No'1/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Djevojka Iz Mog Kraja,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2013.0-Zlatna Kolekcija/2015.0-The Best Of Collection
Mate Bulić,Mato Bulić,Ej Kavano Kućo Stara,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi
Mate Bulić,Mato Bulić,Piva Tica,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi
Mate Bulić,Mato Bulić,Neću Leći Prije Zore,,,Anthology - Najveći Hitovi,2003.0,,,,,,,,,,2003.0-Anthology - Najveći Hitovi,2003.0-Anthology - Najveći Hitovi/nan-Gori Borovina/2008.0-Tri Kuma - No'1/2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,Što Smo Dušo Na Tom Svijetu,3:37,,Gori Borovina,,,,,,,,,,,nan-Gori Borovina,nan-Gori Borovina
Mate Bulić,Mato Bulić,Ivana,3:04,,Gori Borovina,,,,,,,,,,,nan-Gori Borovina,nan-Gori Borovina/2008.0-Tri Kuma - No'1/2013.0-Zlatna Kolekcija
Mate Bulić,Mato Bulić,"Ej, Kavano",3:32,,Gori Borovina,,,,,,,,,,,nan-Gori Borovina,nan-Gori Borovina/2013.0-Zlatna Kolekcija
