Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By [English]_discogs,Piano [Solo]_discogs,Written-By_discogs,Lyrics By_discogs,Arranged By [Co-arranged]_discogs,Music By_discogs,Arranged By_discogs,Producer_discogs,Guitar_discogs,Programmed By_discogs,Keyboards_discogs,Film Director [Video Directed By]_discogs,Featuring_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Danijela Martinović,Danijela Martinović,Potpisujem,3:37,Gold Collection (Volume 02),2002.0,,,,Ljilja Jorgovanović,,Manuel Alejandro,Željko Joksimović,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,"Gde Si Da Si, Neka Si",2:57,Gold Collection (Volume 02),2002.0,,,,Žana,,Nenad Stefanović,Nenad Stefanović,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Pleši Samnom,3:54,Gold Collection (Volume 02),2002.0,,,,Zlatan Fazlić,,Zlatan Fazlić,Nikša Bratoš,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,On Je Isti Kao Ti,3:28,Gold Collection (Volume 02),2002.0,,,,Ljilja Jorgovanović,,Leontina,Alek Aleksov,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Ni Na Zemlji Ni Na Nebu,3:08,Gold Collection (Volume 02),2002.0,,,Aleksandra Milutinović,,,,Aleksandra Milutinović,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Sledeća,3:49,Gold Collection (Volume 02),2002.0,,,,Ljilja Jorgovanović,,Željko Joksimović,Alek Aleksov,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,1.200 Milja,3:31,Gold Collection (Volume 02),2002.0,,,,Žana,,Nihad Petonjić,Nihad Petonjić,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Pogrešan,4:12,Gold Collection (Volume 02),2002.0,,,,Leontina,,Leontina,Zoran Radetić,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Ako Je Bog Dozvolio,3:00,Gold Collection (Volume 02),2002.0,,,Aleksandra Milutinović,,,,Aleksandra Milutinović,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Grube Reči,3:53,Gold Collection (Volume 02),2002.0,,,,Zlatko Sabolek,,Đorđe Novković,Muc Softić,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
