Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Written By_discogs,Written-By_discogs,Backing Vocals_discogs,Conductor_discogs,Orchestra_discogs,Backing Band_discogs,Choir_discogs,Lyrics By [Croatian]_discogs,Trumpet [Solo]_discogs,Engineer_discogs,Lyrics By [Rendered From German]_discogs,Lyrics By [Rendered from English]_discogs,Lyrics By [Original]_discogs,Arranged By [Original]_discogs,Bass Guitar_discogs,Adapted By_discogs,Written By [Music]_discogs,Text By_discogs,Performer_discogs,Vocals_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Mišo Kovač,Mišo Kovač,Prve Suze,,,Vilibald Čaklec,Zalij To Cvijeće Suzama Sreće / Prve Suze,1972.0,,,,,,,,,,,,,,,,,,,,,,,1972.0-Zalij To Cvijeće Suzama Sreće / Prve Suze,1972.0-Zalij To Cvijeće Suzama Sreće / Prve Suze
Mišo Kovač,Mišo Kovač,Odvest Ću Te Na Vjenčanje,,,Stjepan Mihaljinec,Odvest Ću Te Na Vjenčanje / Ponoćna Serenada,1972.0,,,,,,,,,,,,,,,,,,,,,,,1972.0-Odvest Ću Te Na Vjenčanje / Ponoćna Serenada,1972.0-Odvest Ću Te Na Vjenčanje / Ponoćna Serenada/nan-Portret/1987.0-Najljepše Pjesme 2/nan-Najljepše Pjesme/1997.0-Najbolje/2004.0-Najveći Hitovi Br. 2/2010.0-Sve Najbolje/2010.0-Najljepše Ljubavne Pjesme
Mišo Kovač,Mišo Kovač,Ponoćna Serenada,,,Zdenko Runjić,Odvest Ću Te Na Vjenčanje / Ponoćna Serenada,1972.0,,,,,,,,,,,,,,,,,,,,,,,1972.0-Odvest Ću Te Na Vjenčanje / Ponoćna Serenada,1972.0-Odvest Ću Te Na Vjenčanje / Ponoćna Serenada/nan-Portret/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme
Mišo Kovač,Mišo Kovač,Nek Teku Vode,,,,Nek Teku Vode / Balada O Zelenim Očima,1972.0,,,,,,,,,,,,,,,,,,,,,,,1972.0-Nek Teku Vode / Balada O Zelenim Očima,1972.0-Nek Teku Vode / Balada O Zelenim Očima/nan-Najveći Uspjesi 1.
Mišo Kovač,Mišo Kovač,Balada O Zelenim Očima,,,,Nek Teku Vode / Balada O Zelenim Očima,1972.0,,,,,,,,,,,,,,,,,,,,,,,1972.0-Nek Teku Vode / Balada O Zelenim Očima,1972.0-Nek Teku Vode / Balada O Zelenim Očima/nan-Portret/nan-Najveći Uspjesi 1./2003.0-Najveći Hitovi/2010.0-Sve Najbolje
Mišo Kovač,Mišo Kovač,Bit Ću Daleko,,,,Bit Ću Daleko,,,,,,,,,,,,,,,,,,,,,,,,nan-Bit Ću Daleko,nan-Bit Ću Daleko/nan-Portret/nan-Najveći Uspjesi 1./nan-Mišo Kovač/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme/1997.0-Najbolje/2004.0-Najveći Hitovi Br. 2
Mišo Kovač,Mišo Kovač,Ponovo Me  Voli,,,,Bit Ću Daleko,,,,,,,,,,,,,,,,,,,,,,,,nan-Bit Ću Daleko,nan-Bit Ću Daleko
Mišo Kovač,Mišo Kovač,Bili! Bili!,2:42,,,"Bili! Bili! / Marjane, Marjane",1973.0,,,,,,,,,,,,,,,,,,,,,,,"1973.0-Bili! Bili! / Marjane, Marjane","1973.0-Bili! Bili! / Marjane, Marjane"
Mišo Kovač,Mišo Kovač,"Marjane, Marjane",2:47,,,"Bili! Bili! / Marjane, Marjane",1973.0,,,,,,,,,,,,,,,,,,,,,,,"1973.0-Bili! Bili! / Marjane, Marjane","1973.0-Bili! Bili! / Marjane, Marjane"
Mišo Kovač,Mišo Kovač,Bijela Lađa,3:43,Tomislav Zuppa,Zdenko Runjić,Bijela Lađa,1973.0,,,,,,,,,,,,,,,,,,,,,,,1973.0-Bijela Lađa,1973.0-Bijela Lađa/nan-Portret/1987.0-Najljepše Pjesme 2/nan-Najljepše Pjesme/2003.0-Najveći Hitovi
Mišo Kovač,Mišo Kovač,Živim Danas Ne Mislim Na Sutra,3:22,,,Bijela Lađa,1973.0,,,Dušan Šarac,,,,,,,,,,,,,,,,,,,,1973.0-Bijela Lađa,1973.0-Bijela Lađa/1987.0-Najljepše Pjesme 2/2004.0-Najveći Hitovi Br. 2
Mišo Kovač,Mišo Kovač,Na Plavom Morskom Žalu,3:27,Zdenko Runjić,Zdenko Runjić,Na Plavom Morskom Žalu / Prva Ljubav,1973.0,,,,,,,,,,,,,,,,,,,,,,,1973.0-Na Plavom Morskom Žalu / Prva Ljubav,1973.0-Na Plavom Morskom Žalu / Prva Ljubav
Mišo Kovač,Mišo Kovač,Prva Ljubav,2:57,Dušan Šarac,Dušan Šarac,Na Plavom Morskom Žalu / Prva Ljubav,1973.0,,,,,,,,,,,,,,,,,,,,,,,1973.0-Na Plavom Morskom Žalu / Prva Ljubav,1973.0-Na Plavom Morskom Žalu / Prva Ljubav/nan-Mišo Kovač
Mišo Kovač,Mišo Kovač,Ako Srce Mira Nema,3:21,,,Portret,,,,Dušan Šarac,,,,,,,,,,,,,,,,,,,,nan-Portret,"nan-Portret/nan-Ako Srce Mira Nema / Ne Idi, Ne Idi/1987.0-Najljepše Pjesme 2/nan-Najljepše Pjesme/2004.0-Najveći Hitovi Br. 2"
Mišo Kovač,Mišo Kovač,Nek Teku Sve Vode,2:52,Marijan Arhanić,Alfi Kabiljo,Portret,,,,,,,,,,,,,,,,,,,,,,,,nan-Portret,nan-Portret
Mišo Kovač,Mišo Kovač,Ne Idi Ne Idi,2:57,Zvonko Špišić,Stipica Kalogjera,Portret,,,,,,,,,,,,,,,,,,,,,,,,nan-Portret,nan-Portret
Mišo Kovač,Mišo Kovač,Ponovo Me Voli,2:33,,,Portret,,,,Dušan Šarac,,,,,,,,,,,,,,,,,,,,nan-Portret,nan-Portret/1978.0-Najveći Uspjesi 2./nan-Mišo Kovač/1987.0-Najljepše Pjesme 2/nan-Najljepše Pjesme/1997.0-Najbolje/2003.0-Najveći Hitovi/2004.0-Najveći Hitovi Br. 2
Mišo Kovač,Mišo Kovač,Ne Mislim Na Sutra,3:21,,,Portret,,,,Dušan Šarac,,,,,,,,,,,,,,,,,,,,nan-Portret,nan-Portret
Mišo Kovač,Mišo Kovač,Ponoćni Blues,2:42,,,Portret,,,,Đorđe Novković,,,,,,,,,,,,,,,,,,,,nan-Portret,nan-Portret
Mišo Kovač,Mišo Kovač,Zeleno Zeleno,3:06,Jure Stubičanec,Alfi Kabiljo,Portret,,Alfi Kabiljo,,,,,,,,,,,,,,,,,,,,,,nan-Portret,nan-Portret
Mišo Kovač,Mišo Kovač,"Ne Idi, Ne Idi",2:54,Zvonko Špišić,Stipica Kalogjera,"Ako Srce Mira Nema / Ne Idi, Ne Idi",,,,,,,,,,,,,,,,,,,,,,,,"nan-Ako Srce Mira Nema / Ne Idi, Ne Idi","nan-Ako Srce Mira Nema / Ne Idi, Ne Idi/1987.0-Najljepše Pjesme 2/2004.0-Najveći Hitovi Br. 2"
Mišo Kovač,Mišo Kovač,Ne Mogu Da Te Zaboravim,3:50,Đorđe Novković,Đorđe Novković,Ne Mogu Da Te Zaboravim / Nema Smijeha Na Tvom Licu,1974.0,Stipica Kalogjera,,,,,,,,,,,,,,,,,,,,,,1974.0-Ne Mogu Da Te Zaboravim / Nema Smijeha Na Tvom Licu,1974.0-Ne Mogu Da Te Zaboravim / Nema Smijeha Na Tvom Licu/nan-Najveći Uspjesi 1./nan-Najveći Uspjesi Četvorice Najvećih/nan-Mišo Kovač/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme/1997.0-Najbolje/2003.0-Najveći Hitovi/2010.0-Sve Najbolje
Mišo Kovač,Mišo Kovač,Nema Smijeha Na Tvom Licu,2:42,Dušan Šarac,Dušan Šarac,Ne Mogu Da Te Zaboravim / Nema Smijeha Na Tvom Licu,1974.0,Đorđe Novković,,,,,,,,,,,,,,,,,,,,,,1974.0-Ne Mogu Da Te Zaboravim / Nema Smijeha Na Tvom Licu,1974.0-Ne Mogu Da Te Zaboravim / Nema Smijeha Na Tvom Licu/nan-Najveći Uspjesi 1./nan-Mišo Kovač/1997.0-Najbolje
Mišo Kovač,Mišo Kovač,Drugi Joj Raspliće Kosu A Ja Je Volim,3:35,,,Drugi Joj Raspliće Kosu A Ja Je Volim,,,,Đorđe Novković,,,,,,,,,,,,,,,,,,,,nan-Drugi Joj Raspliće Kosu A Ja Je Volim,nan-Drugi Joj Raspliće Kosu A Ja Je Volim/nan-Najveći Uspjesi Četvorice Najvećih/1987.0-Najljepše Pjesme 2/nan-Najljepše Pjesme
Mišo Kovač,Mišo Kovač,Ljubavna Pjesma,4:44,Dušan Šarac,Dušan Šarac,Drugi Joj Raspliće Kosu A Ja Je Volim,,Rajmond Ruić,,,,,,,,,,,,,,,,,,,,,,nan-Drugi Joj Raspliće Kosu A Ja Je Volim,nan-Drugi Joj Raspliće Kosu A Ja Je Volim
Mišo Kovač,Mišo Kovač,Obala Mojih Snova,,Dušan Šarac,Dušan Šarac,Obala Mojih Snova / Najljepše Su Oči Moje Majke,,Đorđe Novković,,,,Đorđe Novković,,,,,,,,,,,,,,,,,,nan-Obala Mojih Snova / Najljepše Su Oči Moje Majke,nan-Obala Mojih Snova / Najljepše Su Oči Moje Majke/nan-Najveći Uspjesi 1./nan-Najveći Uspjesi Četvorice Najvećih/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme/2003.0-Najveći Hitovi
Mišo Kovač,Mišo Kovač,Najljepše Su Oči Moje Majke,,Đorđe Novković,Đorđe Novković,Obala Mojih Snova / Najljepše Su Oči Moje Majke,,Rajmond Ruić,,,,Rajmond Ruić,,,,,,,,,,,,,,,,,,nan-Obala Mojih Snova / Najljepše Su Oči Moje Majke,nan-Obala Mojih Snova / Najljepše Su Oči Moje Majke/nan-Najveći Uspjesi 1./nan-Mišo Kovač/1987.0-Najljepše Pjesme 2/nan-Najljepše Pjesme/1997.0-Najbolje/2003.0-Najveći Hitovi/2004.0-Najveći Hitovi Br. 2/2010.0-Sve Najbolje/2013.0-Ostala Si Uvijek Ista
Mišo Kovač,Mišo Kovač,Mi Smo Se Voljeli,5:21,Dušan Šarac,Dušan Šarac,Mi Smo Se Voljeli,,,,,,,,,,,,,,,,,,,,,,,,nan-Mi Smo Se Voljeli,nan-Mi Smo Se Voljeli
