Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Lyrics By_discogs,Vocals_discogs,Saxophone_discogs,Written-By_discogs,Arranged By_discogs,Producer_discogs,Adapted By_discogs,Voice_discogs,Narrator_discogs,Featuring_discogs,Songwriter_discogs,Goblet Drum_discogs,Vocals [Duet]_discogs,Trumpet_discogs,Trombone_discogs,Lead Vocals_discogs,Guest_discogs,Guitar_discogs,Album_year_title_discogs,All_albums_discogs
Crvena Jabuka,Crvena Jabuka,Tamo Gdje Ljubav Počinje,,Tamo Gdje Ljubav Počinje,,,,,,,,,,,,,,,,,,,,,nan-Tamo Gdje Ljubav Počinje,nan-Tamo Gdje Ljubav Počinje/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/nan-18 Zlatnih Hitova/2013.0-Original Album Collection/nan-100 Originalnih Hitova/2016.0-Greatest Hits Collection
Crvena Jabuka,Crvena Jabuka,Sve Što Imaš Ti,,Sve Što Imaš Ti / Sa Tvojih Usana,1990.0,,,,,,,,,,,,,,,,,,,,1990.0-Sve Što Imaš Ti / Sa Tvojih Usana,1990.0-Sve Što Imaš Ti / Sa Tvojih Usana/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/nan-Zlatna Kolekcija/2008.0-The Ultimate Collection/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Bacila Je Sve Niz Rijeku,,Bacila Je Sve Niz Rijeku (Live),1990.0,Fadil Redžić,Kemal Monteno,,,,,Nikša Bratoš,,,,,,,,,,,,,1990.0-Bacila Je Sve Niz Rijeku (Live),1990.0-Bacila Je Sve Niz Rijeku (Live)/nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Moje Najmilije/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2009.0-25 Godina - Da Nije Ljubavi/2010.0-S Druge Strane Sjećanja/nan-18 Zlatnih Hitova/2014.0-Bivše Djevojčice Bivši Dječaci - Unplugged Live U Lisinskom
Crvena Jabuka,Crvena Jabuka,Radio Single,,Bacila Je Sve Niz Rijeku (Live),1990.0,,,,,,,,,,Senad Tanović,,,,,,,,,,1990.0-Bacila Je Sve Niz Rijeku (Live),1990.0-Bacila Je Sve Niz Rijeku (Live)
Crvena Jabuka,Crvena Jabuka,Medley (live),,Bacila Je Sve Niz Rijeku (Live),1990.0,,,,,,,,,,Senad Tanović,,,,,,,,,,1990.0-Bacila Je Sve Niz Rijeku (Live),1990.0-Bacila Je Sve Niz Rijeku (Live)
Crvena Jabuka,Crvena Jabuka,Nek Te On Ljubi,,Uzmi Me (Kad Hoćeš Ti) Live,,Dražen Ričl,Dražen Ričl,,,,,,,,,,,,,,,,,,nan-Uzmi Me (Kad Hoćeš Ti) Live,nan-Uzmi Me (Kad Hoćeš Ti) Live
Crvena Jabuka,Crvena Jabuka,Uzmi Me (Kad Hoćeš Ti),,Uzmi Me (Kad Hoćeš Ti) Live,,,,,,,,,,,,,,,,,,,,,nan-Uzmi Me (Kad Hoćeš Ti) Live,nan-Uzmi Me (Kad Hoćeš Ti) Live/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/2010.0-Najljepše Ljubavne Pjesme/nan-18 Zlatnih Hitova
Crvena Jabuka,Crvena Jabuka,"Suzo Moja, Strpi Se",,Uzmi Me (Kad Hoćeš Ti) Live,,,,,,,,,,,,,,,,,,,,,nan-Uzmi Me (Kad Hoćeš Ti) Live,nan-Uzmi Me (Kad Hoćeš Ti) Live/2010.0-S Druge Strane Sjećanja
Crvena Jabuka,Crvena Jabuka,Moje Najmilije,4:00,Moje Najmilije,1991.0,,,,,,,,,,,,,,,,,,,,1991.0-Moje Najmilije,1991.0-Moje Najmilije/nan-Nekako S Proljeća/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/nan-Moje Najmilije/nan-Zlatna Kolekcija/2009.0-25 Godina - Da Nije Ljubavi/2010.0-Najljepše Ljubavne Pjesme/nan-18 Zlatnih Hitova/2013.0-Original Album Collection
Crvena Jabuka,Crvena Jabuka,Nekako S Proljeća,4:46,Moje Najmilije,1991.0,,,,,,,,,,,,,,,,,,,,1991.0-Moje Najmilije,1991.0-Moje Najmilije/nan-Nekako S Proljeća/nan-Ima Nešto Od Srca Do Srca - 18 Originalnih Hitova/2001.0-Live Dom Sportova Zagreb/nan-Zlatna Kolekcija/2005.0-Antologija/2008.0-The Ultimate Collection/2013.0-Original Album Collection/2016.0-Greatest Hits Collection
