Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Featuring_discogs,Remix_discogs,Producer_discogs,Arranged By_discogs,Guitar_discogs,Vocals_discogs,Mixed By_discogs,Choir_discogs,Bass_discogs,Conductor_discogs,Drums_discogs,Keyboards_discogs,Strings_discogs,Guest_discogs,Album_year_discogs,Acoustic Guitar_discogs,Electric Guitar_discogs,Backing Vocals_discogs,Bass Guitar_discogs,Music By_discogs,Lyrics By_discogs,Vocals [Recital]_discogs,Oboe_discogs,Fife_discogs,Orchestrated By_discogs,Trumpet_discogs,Violin_discogs,Chorus Master_discogs,Mandolin_discogs,Written-By_discogs,Performer_discogs,Album_year_title_discogs,All_albums_discogs
Thompson,Marko Perković Thompson,Ljutu Travu Na Ljutu Ranu,4:16,Sve Najbolje 1991. - 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Geni Kameni (Live),6:02,Sve Najbolje 1991. - 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Zaustavi Se Vjetre,4:20,Sve Najbolje 1991. - 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2015.0-The Best Of Collection
Thompson,Marko Perković Thompson,Pukni Puško,3:35,Sve Najbolje 1991. - 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Sve Najbolje 1991. - 2003.,nan-Sve Najbolje 1991. - 2003./2004.0-Turneja E Moj Narode/2016.0-Antologija
Thompson,Marko Perković Thompson,DVD1 Zagreb + Turneja,,Turneja E Moj Narode,,,,,,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,,2004.0-Turneja E Moj Narode,2004.0-Turneja E Moj Narode
Thompson,Marko Perković Thompson,Uvod,,Turneja E Moj Narode,,,,,,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,,2004.0-Turneja E Moj Narode,2004.0-Turneja E Moj Narode/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2016.0-Antologija
Thompson,Marko Perković Thompson,E Moj Narode,,Turneja E Moj Narode,,,,,,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,,2004.0-Turneja E Moj Narode,2004.0-Turneja E Moj Narode/2004.0-Turneja E Moj Narode/2008.0-Tri Kuma - No'1
Thompson,Marko Perković Thompson,DVD2 Poljud,,Turneja E Moj Narode,,,,,,,,,,,,,,,2004.0,,,,,,,,,,,,,,,,,2004.0-Turneja E Moj Narode,2004.0-Turneja E Moj Narode
Thompson,Marko Perković Thompson,Moj Dida I Ja,4:44,Moj Dida I Ja,,,,,,,,,,,,,,,2006.0,,,,,,,,,,,,,,,,,2006.0-Moj Dida I Ja,"2006.0-Moj Dida I Ja/nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2015.0-The Best Of Collection/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Početak,6:44,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Branimir Mihaljević,,,,Tomislav Mandarić,Tomislav Mandarić,Tiho Orlić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,Goran Grgić (2),,,,,,,,,,nan-Bilo Jednom U Hrvatskoj,nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2016.0-Antologija/2019.0-Original Album Collection
Thompson,Marko Perković Thompson,Dolazak Hrvata,4:46,Bilo Jednom U Hrvatskoj,,,,Marko Perković Thompson,,,,,,,Damir Šomen,Branimir Mihaljević,,,,,Damir Lipošek,Vladimir Pavelić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,Marko Požgaj,Marko Požgaj,Branimir Mihaljević,Tomica Rukljić,Stanislav Kovačić,,,,,nan-Bilo Jednom U Hrvatskoj,"nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
Thompson,Marko Perković Thompson,Duh Ratnika,5:57,Bilo Jednom U Hrvatskoj,,,,Tiho Orlić,,,,,,,Damir Šomen,Berislav Blažević,,,,,Tomislav Mandarić,Tiho Orlić,Tiho Orlić,Marko Perković Thompson,Marko Perković Thompson,,,,,,,,,,,nan-Bilo Jednom U Hrvatskoj,"nan-Bilo Jednom U Hrvatskoj/2007.0-Bilo Jednom U Hrvatskoj • Split - Stari Plac /nan-Bilo Jednom U Hrvatskoj - Stadion Maksimir Anno Domini MMVII/2013.0-Poljud Live Ora Et Labora/2013.0-Oluja/2016.0-Antologija/2016.0-Knin 5.8.2015. - Dan Pobjede: 20. Obljetnica Operacije ""Oluja""/2019.0-Original Album Collection"
